order_id,order_date,product_name,quantity,unit_price,gross_sales,discount_amount,refund_amount,net_sales,state
SS3085,2024-01-09,Anime Mystery Box,1,60,60,0,0,60,California
SS3086,2024-01-09,Demon Slayer Poster,1,15,15,0,0,15,Tennessee
SS3087,2024-01-09,Attack on Titan T-Shirt,2,28,56,0,0,56,California
SS3088,2024-01-09,Naruto Hoodie,3,55,165,0,0,165,Texas
SS3089,2024-01-09,Naruto Hoodie,2,55,110,0,0,110,Illinois
SS3090,2024-01-09,Demon Slayer Poster,2,15,30,0,0,30,Florida
SS3091,2024-01-09,My Hero Academia Backpack,2,48,96,0,96,0,California
SS3092,2024-01-09,Naruto Hoodie,3,55,165,22.32,0,142.68,Illinois
SS3093,2024-01-09,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3094,2024-01-09,Naruto Hoodie,1,55,55,0,55,0,Florida
SS3095,2024-01-09,My Hero Academia Backpack,2,48,96,0,0,96,Illinois
SS3096,2024-01-09,My Hero Academia Backpack,1,48,48,3.22,0,44.78,Indiana
SS3097,2024-01-09,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3098,2024-01-09,Anime Mystery Box,1,60,60,0,0,60,Texas
SS3099,2024-01-10,Anime Mystery Box,1,60,60,0,0,60,Texas
SS3100,2024-01-10,Anime Mystery Box,2,60,120,0,0,120,Florida
SS3101,2024-01-10,Jujutsu Kaisen Keychain,2,8,16,0,0,16,California
SS3102,2024-01-10,Anime Mystery Box,3,60,180,0,0,180,Florida
SS3103,2024-01-10,Demon Slayer Poster,1,15,15,2.98,0,12.02,Florida
SS3104,2024-01-10,One Piece Figure,1,35,35,0,0,35,Texas
SS3105,2024-01-10,Dragon Ball Z Hat,3,22,66,0,0,66,California
SS3106,2024-01-10,Naruto Hoodie,3,55,165,0,0,165,Texas
SS3107,2024-01-10,Anime Mystery Box,2,60,120,0,0,120,California
SS3108,2024-01-10,Naruto Hoodie,3,55,165,0,165,0,Florida
SS3109,2024-01-10,Anime Mystery Box,3,60,180,20.12,0,159.88,Illinois
SS3110,2024-01-11,Attack on Titan T-Shirt,2,28,56,10.68,0,45.32,Missouri
SS3111,2024-01-11,Jujutsu Kaisen Keychain,2,8,16,0,0,16,Florida
SS3112,2024-01-11,Anime Mystery Box,1,60,60,0,0,60,Georgia
SS3113,2024-01-11,One Piece Figure,1,35,35,0,0,35,Texas
SS3114,2024-01-11,One Piece Figure,3,35,105,19.05,0,85.95,Texas
SS3115,2024-01-11,Attack on Titan T-Shirt,2,28,56,0,0,56,Texas
SS3116,2024-01-11,Anime Mystery Box,1,60,60,0,0,60,Georgia
SS3117,2024-01-11,Naruto Hoodie,1,55,55,0,0,55,Missouri
SS3118,2024-01-12,Naruto Hoodie,2,55,110,0,0,110,Ohio
SS3119,2024-01-12,Naruto Hoodie,3,55,165,0,0,165,Pennsylvania
SS3120,2024-01-12,Attack on Titan T-Shirt,3,28,84,0,84,0,California
SS3121,2024-01-12,Naruto Hoodie,1,55,55,8.96,0,46.04,California
SS3122,2024-01-12,Naruto Hoodie,2,55,110,0,0,110,North Carolina
SS3123,2024-01-12,Naruto Hoodie,1,55,55,0,0,55,California
SS3124,2024-01-12,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3125,2024-01-12,Attack on Titan T-Shirt,3,28,84,0,0,84,Arizona
SS3126,2024-01-12,Naruto Hoodie,1,55,55,0,0,55,Illinois
SS3127,2024-01-12,Naruto Hoodie,1,55,55,0,0,55,Florida
SS3128,2024-01-12,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3129,2024-01-12,Attack on Titan T-Shirt,1,28,28,1.68,0,26.32,California
SS3130,2024-01-12,Naruto Hoodie,2,55,110,11.15,0,98.85,California
SS3131,2024-01-12,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3132,2024-01-12,Jujutsu Kaisen Keychain,2,8,16,0,0,16,Florida
SS3133,2024-01-12,Anime Mystery Box,3,60,180,0,0,180,Massachusetts
SS3134,2024-01-12,Jujutsu Kaisen Keychain,3,8,24,0,0,24,Nevada
SS3135,2024-01-13,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3136,2024-01-13,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3137,2024-01-13,Attack on Titan T-Shirt,3,28,84,0,0,84,Texas
SS3138,2024-01-13,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3139,2024-01-13,Naruto Hoodie,1,55,55,6.63,0,48.37,California
SS3140,2024-01-13,My Hero Academia Backpack,1,48,48,9.41,0,38.59,Texas
SS3141,2024-01-13,Naruto Hoodie,2,55,110,10.66,0,99.34,Virginia
SS3142,2024-01-13,Dragon Ball Z Hat,3,22,66,0,0,66,Texas
SS3143,2024-01-13,Demon Slayer Poster,1,15,15,0,15,0,California
SS3144,2024-01-13,Jujutsu Kaisen Keychain,2,8,16,0,0,16,Texas
SS3145,2024-01-13,My Hero Academia Backpack,2,48,96,0,0,96,Texas
SS3146,2024-01-13,My Hero Academia Backpack,2,48,96,0,96,0,Texas
SS3147,2024-01-14,Anime Mystery Box,3,60,180,32.73,0,147.27,Missouri
SS3148,2024-01-14,One Piece Figure,2,35,70,0,0,70,Indiana
SS3149,2024-01-14,Demon Slayer Poster,1,15,15,0,0,15,Illinois
SS3150,2024-01-14,My Hero Academia Backpack,1,48,48,0,0,48,Florida
SS3151,2024-01-14,Anime Mystery Box,3,60,180,0,0,180,Illinois
SS3152,2024-01-14,Naruto Hoodie,2,55,110,0,0,110,California
SS3153,2024-01-14,Anime Mystery Box,1,60,60,0,0,60,Virginia
SS3154,2024-01-14,Naruto Hoodie,2,55,110,11.1,0,98.9,Texas
SS3155,2024-01-14,Anime Mystery Box,3,60,180,0,0,180,Colorado
SS3156,2024-01-14,Anime Mystery Box,3,60,180,0,0,180,California
SS3157,2024-01-15,Anime Mystery Box,1,60,60,0,0,60,Virginia
SS3158,2024-01-15,Anime Mystery Box,1,60,60,0,0,60,Illinois
SS3159,2024-01-15,Naruto Hoodie,1,55,55,8.11,0,46.89,Texas
SS3160,2024-01-15,My Hero Academia Backpack,3,48,144,0,0,144,California
SS3161,2024-01-15,Naruto Hoodie,3,55,165,0,0,165,Arizona
SS3162,2024-01-15,Anime Mystery Box,3,60,180,29.87,0,150.13,California
SS3163,2024-01-15,Naruto Hoodie,1,55,55,0,0,55,Florida
SS3164,2024-01-15,Attack on Titan T-Shirt,3,28,84,0,0,84,Texas
SS3165,2024-01-15,Demon Slayer Poster,1,15,15,0,0,15,Illinois
SS3166,2024-01-15,Naruto Hoodie,1,55,55,0,0,55,Virginia
SS3167,2024-01-15,Dragon Ball Z Hat,3,22,66,0,0,66,Nevada
SS3168,2024-01-15,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Georgia
SS3169,2024-01-15,Anime Mystery Box,3,60,180,0,0,180,North Carolina
SS3170,2024-01-15,Naruto Hoodie,3,55,165,0,0,165,Michigan
SS3171,2024-01-15,Naruto Hoodie,3,55,165,0,0,165,Ohio
SS3172,2024-01-16,One Piece Figure,2,35,70,0,0,70,Florida
SS3173,2024-01-16,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Georgia
SS3174,2024-01-16,Dragon Ball Z Hat,3,22,66,0,0,66,California
SS3175,2024-01-16,Anime Mystery Box,2,60,120,0,0,120,California
SS3176,2024-01-16,Naruto Hoodie,3,55,165,0,0,165,Texas
SS3177,2024-01-16,Anime Mystery Box,1,60,60,5.01,0,54.99,Pennsylvania
SS3178,2024-01-17,Anime Mystery Box,3,60,180,0,0,180,New Jersey
SS3179,2024-01-17,Naruto Hoodie,2,55,110,0,0,110,California
SS3180,2024-01-17,Naruto Hoodie,2,55,110,0,0,110,Texas
SS3181,2024-01-17,Anime Mystery Box,2,60,120,0,0,120,Virginia
SS3182,2024-01-17,Anime Mystery Box,1,60,60,0,0,60,Pennsylvania
SS3183,2024-01-17,One Piece Figure,3,35,105,11.36,0,93.64,California
SS3184,2024-01-17,Naruto Hoodie,3,55,165,0,165,0,Texas
SS3185,2024-01-17,Jujutsu Kaisen Keychain,1,8,8,0,0,8,California
SS3186,2024-01-17,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3187,2024-01-17,Dragon Ball Z Hat,2,22,44,0,44,0,California
SS3188,2024-01-17,Naruto Hoodie,2,55,110,0,0,110,Illinois
SS3189,2024-01-17,Anime Mystery Box,2,60,120,8.65,0,111.35,California
SS3190,2024-01-17,Demon Slayer Poster,2,15,30,5.44,0,24.56,Nevada
SS3191,2024-01-18,Naruto Hoodie,1,55,55,0,0,55,Georgia
SS3192,2024-01-18,Anime Mystery Box,2,60,120,21.69,0,98.31,Tennessee
SS3193,2024-01-18,My Hero Academia Backpack,1,48,48,3.93,0,44.07,California
SS3194,2024-01-18,Naruto Hoodie,3,55,165,0,0,165,Virginia
SS3195,2024-01-18,Dragon Ball Z Hat,2,22,44,0,0,44,Texas
SS3196,2024-01-18,Anime Mystery Box,3,60,180,29.13,0,150.87,Michigan
SS3197,2024-01-18,Naruto Hoodie,3,55,165,0,0,165,California
SS3198,2024-01-18,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Texas
SS3199,2024-01-18,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3200,2024-01-18,Naruto Hoodie,2,55,110,0,0,110,California
SS3201,2024-01-19,Naruto Hoodie,2,55,110,0,0,110,California
SS3202,2024-01-19,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Florida
SS3203,2024-01-19,Naruto Hoodie,1,55,55,0,0,55,Virginia
SS3204,2024-01-19,Naruto Hoodie,2,55,110,0,0,110,Michigan
SS3205,2024-01-19,Anime Mystery Box,2,60,120,0,0,120,Florida
SS3206,2024-01-19,My Hero Academia Backpack,2,48,96,0,0,96,California
SS3207,2024-01-19,Naruto Hoodie,2,55,110,0,0,110,Michigan
SS3208,2024-01-19,Anime Mystery Box,2,60,120,0,0,120,Florida
SS3209,2024-01-19,Naruto Hoodie,1,55,55,0,0,55,Arizona
SS3210,2024-01-19,Anime Mystery Box,3,60,180,0,0,180,Virginia
SS3211,2024-01-20,Dragon Ball Z Hat,1,22,22,0,0,22,Washington
SS3212,2024-01-20,Naruto Hoodie,2,55,110,0,0,110,Arizona
SS3213,2024-01-20,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3214,2024-01-20,Anime Mystery Box,2,60,120,6.2,0,113.8,Pennsylvania
SS3215,2024-01-20,Naruto Hoodie,3,55,165,0,0,165,Texas
SS3216,2024-01-20,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Indiana
SS3217,2024-01-20,Demon Slayer Poster,1,15,15,0,0,15,Florida
SS3218,2024-01-20,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Texas
SS3219,2024-01-20,Demon Slayer Poster,2,15,30,1.9,0,28.1,Illinois
SS3220,2024-01-20,Naruto Hoodie,1,55,55,0,0,55,California
SS3221,2024-01-20,Attack on Titan T-Shirt,3,28,84,0,0,84,Florida
SS3222,2024-01-20,Anime Mystery Box,3,60,180,0,0,180,Missouri
SS3223,2024-01-20,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3224,2024-01-20,Naruto Hoodie,3,55,165,0,0,165,Colorado
SS3225,2024-01-20,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Illinois
SS3226,2024-01-20,One Piece Figure,1,35,35,0,0,35,Texas
SS3227,2024-01-20,My Hero Academia Backpack,3,48,144,0,0,144,Missouri
SS3228,2024-01-21,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3229,2024-01-21,One Piece Figure,3,35,105,0,0,105,Illinois
SS3230,2024-01-21,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3231,2024-01-21,My Hero Academia Backpack,2,48,96,0,0,96,Indiana
SS3232,2024-01-21,Anime Mystery Box,2,60,120,15.82,0,104.18,Virginia
SS3233,2024-01-21,Dragon Ball Z Hat,1,22,22,0,0,22,Pennsylvania
SS3234,2024-01-21,Jujutsu Kaisen Keychain,3,8,24,3.97,0,20.03,California
SS3235,2024-01-21,Demon Slayer Poster,1,15,15,0,0,15,Pennsylvania
SS3236,2024-01-22,Naruto Hoodie,2,55,110,10.24,0,99.76,Indiana
SS3237,2024-01-22,Attack on Titan T-Shirt,2,28,56,0,0,56,Texas
SS3238,2024-01-22,Dragon Ball Z Hat,1,22,22,4.01,0,17.99,Texas
SS3239,2024-01-22,Anime Mystery Box,1,60,60,8.99,0,51.01,California
SS3240,2024-01-22,One Piece Figure,2,35,70,0,0,70,Washington
SS3241,2024-01-22,Jujutsu Kaisen Keychain,3,8,24,0,24,0,New Jersey
SS3242,2024-01-22,Demon Slayer Poster,1,15,15,0,0,15,Tennessee
SS3243,2024-01-22,Anime Mystery Box,1,60,60,10.66,0,49.34,Texas
SS3244,2024-01-22,Anime Mystery Box,2,60,120,0,0,120,Florida
SS3245,2024-01-22,Naruto Hoodie,1,55,55,5.34,0,49.66,Missouri
SS3246,2024-01-22,Anime Mystery Box,1,60,60,7.97,0,52.03,California
SS3247,2024-01-22,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3248,2024-01-22,Naruto Hoodie,2,55,110,0,0,110,Texas
SS3249,2024-01-23,One Piece Figure,3,35,105,6.8,0,98.2,Texas
SS3250,2024-01-23,Naruto Hoodie,3,55,165,0,0,165,California
SS3251,2024-01-23,Naruto Hoodie,1,55,55,0,0,55,California
SS3252,2024-01-23,My Hero Academia Backpack,3,48,144,19.87,0,124.13,Texas
SS3253,2024-01-23,Anime Mystery Box,2,60,120,0,0,120,Florida
SS3254,2024-01-23,Jujutsu Kaisen Keychain,3,8,24,4.09,0,19.91,Tennessee
SS3255,2024-01-23,Naruto Hoodie,1,55,55,0,0,55,California
SS3256,2024-01-23,Attack on Titan T-Shirt,3,28,84,8.22,0,75.78,California
SS3257,2024-01-23,One Piece Figure,3,35,105,0,0,105,Michigan
SS3258,2024-01-23,Anime Mystery Box,1,60,60,0,0,60,Pennsylvania
SS3259,2024-01-23,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3260,2024-01-23,Anime Mystery Box,1,60,60,0,0,60,Nevada
SS3261,2024-01-23,Naruto Hoodie,2,55,110,6.78,103.22,0,Virginia
SS3262,2024-01-23,Dragon Ball Z Hat,1,22,22,0,0,22,Texas
SS3263,2024-01-24,My Hero Academia Backpack,3,48,144,0,0,144,North Carolina
SS3264,2024-01-24,Anime Mystery Box,3,60,180,0,0,180,Missouri
SS3265,2024-01-24,Jujutsu Kaisen Keychain,1,8,8,0.65,0,7.35,California
SS3266,2024-01-24,Jujutsu Kaisen Keychain,3,8,24,1.67,0,22.33,Texas
SS3267,2024-01-24,Naruto Hoodie,2,55,110,17.36,0,92.64,Texas
SS3268,2024-01-24,One Piece Figure,2,35,70,0,70,0,Florida
SS3269,2024-01-24,Naruto Hoodie,3,55,165,0,0,165,California
SS3270,2024-01-24,Jujutsu Kaisen Keychain,2,8,16,3.19,0,12.81,Texas
SS3271,2024-01-24,Attack on Titan T-Shirt,1,28,28,3.43,0,24.57,California
SS3272,2024-01-24,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3273,2024-01-25,Anime Mystery Box,1,60,60,0,0,60,Tennessee
SS3274,2024-01-25,Anime Mystery Box,1,60,60,0,0,60,Washington
SS3275,2024-01-25,Dragon Ball Z Hat,2,22,44,0,44,0,North Carolina
SS3276,2024-01-25,Naruto Hoodie,1,55,55,8.23,0,46.77,Texas
SS3277,2024-01-25,Naruto Hoodie,3,55,165,17.67,0,147.33,Texas
SS3278,2024-01-25,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3279,2024-01-25,Naruto Hoodie,3,55,165,0,0,165,California
SS3280,2024-01-26,Jujutsu Kaisen Keychain,3,8,24,0,0,24,Florida
SS3281,2024-01-26,Anime Mystery Box,1,60,60,0,60,0,Florida
SS3282,2024-01-26,My Hero Academia Backpack,3,48,144,22.07,0,121.93,Arizona
SS3283,2024-01-26,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3284,2024-01-26,Anime Mystery Box,3,60,180,0,0,180,Illinois
SS3285,2024-01-26,Naruto Hoodie,2,55,110,0,0,110,Nevada
SS3286,2024-01-26,My Hero Academia Backpack,2,48,96,0,0,96,North Carolina
SS3287,2024-01-26,Dragon Ball Z Hat,1,22,22,0,0,22,Texas
SS3288,2024-01-26,Naruto Hoodie,2,55,110,0,0,110,Florida
SS3289,2024-01-26,Naruto Hoodie,2,55,110,0,0,110,California
SS3290,2024-01-26,Naruto Hoodie,1,55,55,6.92,0,48.08,Ohio
SS3291,2024-01-26,Anime Mystery Box,2,60,120,10.9,0,109.1,Nevada
SS3292,2024-01-26,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3293,2024-01-27,Naruto Hoodie,3,55,165,0,0,165,Georgia
SS3294,2024-01-27,My Hero Academia Backpack,2,48,96,0,0,96,New Jersey
SS3295,2024-01-27,Anime Mystery Box,3,60,180,30.63,0,149.37,California
SS3296,2024-01-27,One Piece Figure,3,35,105,0,0,105,Florida
SS3297,2024-01-27,Naruto Hoodie,1,55,55,7.49,0,47.51,Pennsylvania
SS3298,2024-01-27,Demon Slayer Poster,2,15,30,0,0,30,Massachusetts
SS3299,2024-01-27,Anime Mystery Box,2,60,120,0,0,120,California
SS3300,2024-01-27,Anime Mystery Box,1,60,60,0,0,60,Ohio
SS3301,2024-01-27,Naruto Hoodie,1,55,55,6.76,0,48.24,Florida
SS3302,2024-01-27,Anime Mystery Box,3,60,180,0,0,180,Florida
SS3303,2024-01-27,Naruto Hoodie,3,55,165,0,0,165,North Carolina
SS3304,2024-01-27,Jujutsu Kaisen Keychain,3,8,24,0,24,0,Texas
SS3305,2024-01-27,Anime Mystery Box,2,60,120,0,0,120,Missouri
SS3306,2024-01-27,One Piece Figure,3,35,105,0,0,105,Florida
SS3307,2024-01-27,Naruto Hoodie,3,55,165,0,0,165,North Carolina
SS3308,2024-01-27,One Piece Figure,2,35,70,0,0,70,California
SS3309,2024-01-27,One Piece Figure,2,35,70,0,0,70,New Jersey
SS3310,2024-01-28,Jujutsu Kaisen Keychain,2,8,16,1.08,0,14.92,Texas
SS3311,2024-01-28,Naruto Hoodie,1,55,55,0,0,55,Florida
SS3312,2024-01-28,Naruto Hoodie,3,55,165,0,0,165,North Carolina
SS3313,2024-01-28,Naruto Hoodie,3,55,165,0,0,165,Massachusetts
SS3314,2024-01-28,Demon Slayer Poster,3,15,45,5.47,0,39.53,Georgia
SS3315,2024-01-28,My Hero Academia Backpack,1,48,48,0,0,48,California
SS3316,2024-01-28,Naruto Hoodie,2,55,110,0,0,110,Tennessee
SS3317,2024-01-28,Naruto Hoodie,2,55,110,0,0,110,Michigan
SS3318,2024-01-28,One Piece Figure,2,35,70,0,0,70,California
SS3319,2024-01-28,Anime Mystery Box,3,60,180,0,0,180,Texas
SS3320,2024-01-29,Naruto Hoodie,3,55,165,0,0,165,Florida
SS3321,2024-01-29,Demon Slayer Poster,1,15,15,0,0,15,California
SS3322,2024-01-29,Naruto Hoodie,2,55,110,0,0,110,California
SS3323,2024-01-29,Naruto Hoodie,1,55,55,0,55,0,Illinois
SS3324,2024-01-29,My Hero Academia Backpack,1,48,48,0,0,48,Texas
SS3325,2024-01-29,Anime Mystery Box,1,60,60,0,0,60,Texas
SS3326,2024-01-29,Anime Mystery Box,3,60,180,0,180,0,Tennessee
SS3327,2024-01-29,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3328,2024-01-29,My Hero Academia Backpack,1,48,48,0,0,48,New York
SS3329,2024-01-30,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Texas
SS3330,2024-01-30,Attack on Titan T-Shirt,1,28,28,0,0,28,California
SS3331,2024-01-30,My Hero Academia Backpack,1,48,48,0,0,48,Colorado
SS3332,2024-01-30,Naruto Hoodie,3,55,165,14.94,0,150.06,Florida
SS3333,2024-01-30,Dragon Ball Z Hat,3,22,66,0,0,66,California
SS3334,2024-01-30,Naruto Hoodie,1,55,55,0,0,55,Texas
SS3335,2024-01-30,Anime Mystery Box,2,60,120,0,0,120,Texas
SS3336,2024-01-30,Naruto Hoodie,1,55,55,0,0,55,Indiana
SS3337,2024-01-30,Jujutsu Kaisen Keychain,1,8,8,0,0,8,Arizona
SS3338,2024-01-30,Attack on Titan T-Shirt,2,28,56,0,0,56,Pennsylvania
SS3339,2024-01-30,My Hero Academia Backpack,1,48,48,0,0,48,California
SS3340,2024-01-30,My Hero Academia Backpack,2,48,96,0,0,96,Indiana
SS3341,2024-01-30,Anime Mystery Box,3,60,180,19.79,0,160.21,Texas
SS3342,2024-01-30,One Piece Figure,2,35,70,10.61,0,59.39,California
SS3343,2024-01-30,Attack on Titan T-Shirt,2,28,56,0,0,56,California
SS3344,2024-01-30,Anime Mystery Box,3,60,180,0,0,180,Florida
SS3345,2024-01-31,Naruto Hoodie,3,55,165,0,0,165,Illinois
SS3346,2024-01-31,Naruto Hoodie,1,55,55,0,0,55,California
