"order_date","total_ss_sales","total_tts_sales_clean","total_sales_overall"
"2024-03-09",510.00,3216.71,3726.71
"2024-03-10",1159.29,2889.20,4048.49
"2024-03-11",449.97,2296.71,2746.68
"2024-03-12",1279.54,2645.06,3924.60
"2024-03-13",1220.07,4633.95,5854.02
"2024-03-14",1221.30,3844.91,5066.21
"2024-03-15",1184.83,2423.05,3607.88
"2024-03-16",1063.21,4012.13,5075.34
"2024-03-17",564.00,3491.43,4055.43
"2024-03-18",1292.19,4999.76,6291.95
"2024-03-19",897.56,1829.55,2727.11
"2024-03-20",444.68,3814.31,4258.99
"2024-03-21",398.14,2769.64,3167.78
"2024-03-22",815.06,4702.13,5517.19
"2024-03-23",1333.96,0,1333.96
"2024-03-24",914.63,4570.66,5485.29
"2024-03-25",1102.44,2217.08,3319.52
"2024-03-26",1446.12,0,1446.12
"2024-03-27",620.72,4240.07,4860.79
"2024-03-28",331.00,3039.79,3370.79
"2024-03-29",831.64,2179.21,3010.85
"2024-03-30",1419.00,3772.50,5191.50
"2024-03-31",1079.15,2713.26,3792.41
"2024-04-01",1011.04,3808.37,4819.41
"2024-04-02",1431.13,2429.80,3860.93
"2024-04-03",1086.61,3991.76,5078.37
"2024-04-04",167.38,1689.57,1856.95
"2024-04-05",682.00,4681.78,5363.78
"2024-04-06",1262.39,4044.41,5306.80
"2024-04-07",1037.60,0,1037.60
"2024-04-08",787.18,2574.57,3361.75
"2024-04-09",1022.84,0,1022.84
"2024-04-10",398.58,2940.34,3338.92
"2024-04-11",1154.58,4598.83,5753.41
"2024-04-12",752.61,1794.37,2546.98
"2024-04-13",1141.16,0,1141.16
"2024-04-14",730.44,4558.63,5289.07
"2024-04-15",1261.87,2230.12,3491.99
"2024-04-16",1020.36,1618.00,2638.36
"2024-04-17",469.58,4113.02,4582.60
"2024-04-18",839.71,4062.92,4902.63
"2024-04-19",943.51,3352.69,4296.20
"2024-04-20",665.89,2019.24,2685.13
"2024-04-21",666.64,2200.79,2867.43
"2024-04-22",553.35,0,553.35
"2024-04-23",483.07,3383.46,3866.53
"2024-04-24",669.30,2364.98,3034.28
"2024-04-25",1320.26,3996.67,5316.93
"2024-04-26",728.47,1907.27,2635.74
"2024-04-27",1370.46,3679.25,5049.71
"2024-04-28",1294.85,4920.47,6215.32
"2024-04-29",492.92,2090.38,2583.30
"2024-04-30",1436.57,2029.26,3465.83
"2024-05-01",320.08,2223.23,2543.31
"2024-05-02",933.45,2438.61,3372.06
"2024-05-03",661.71,1915.90,2577.61
"2024-05-04",1163.27,3689.79,4853.06
"2024-05-05",1481.91,2448.68,3930.59
"2024-05-06",579.00,0,579.00
"2024-05-07",1320.05,3776.13,5096.18
"2024-05-08",1059.78,3307.33,4367.11
"2024-05-09",1122.73,1783.05,2905.78
"2024-05-10",1172.36,1857.21,3029.57
"2024-05-11",1446.39,4641.54,6087.93
"2024-05-12",1503.42,0,1503.42
"2024-05-13",445.08,1576.97,2022.05
"2024-05-14",858.06,2339.33,3197.39
"2024-05-15",483.06,2313.38,2796.44
"2024-05-16",757.26,3177.33,3934.59
"2024-05-17",702.80,0,702.80
"2024-05-18",1017.72,2048.97,3066.69
"2024-05-19",1362.14,1691.65,3053.79
"2024-05-20",1147.94,0,1147.94
"2024-05-21",509.55,3133.57,3643.12
"2024-05-22",587.56,3677.20,4264.76
"2024-05-23",1223.97,0,1223.97
"2024-05-24",987.24,2038.02,3025.26
"2024-05-25",880.88,1979.86,2860.74
"2024-05-26",1667.00,3709.85,5376.85
"2024-05-27",1009.16,2393.29,3402.45
"2024-05-28",943.00,4519.52,5462.52
"2024-05-29",970.32,4734.79,5705.11
"2024-05-30",1248.00,4003.51,5251.51
"2024-05-31",461.65,1763.30,2224.95
"2024-06-01",1227.88,1602.64,2830.52
"2024-06-02",1521.53,1898.00,3419.53
"2024-06-03",1032.90,3453.88,4486.78
"2024-06-04",990.69,0,990.69
"2024-06-05",1211.00,2847.58,4058.58
"2024-06-06",1250.73,1915.42,3166.15
"2024-06-07",806.89,1938.02,2744.91
"2024-06-08",1032.49,3392.44,4424.93
"2024-06-09",1256.79,4539.20,5795.99
"2024-06-10",1284.23,3164.19,4448.42
"2024-06-11",1039.48,3032.85,4072.33
"2024-06-12",547.40,1549.20,2096.60
"2024-06-13",970.72,3045.98,4016.70
"2024-06-14",1103.09,3274.31,4377.40
"2024-06-15",505.34,0,505.34
"2024-06-16",520.00,2368.88,2888.88
"2024-06-17",1080.49,3220.48,4300.97
"2024-06-18",1173.13,2092.03,3265.16
"2024-06-19",591.72,0,591.72
"2024-06-20",1084.74,2247.92,3332.66
"2024-06-21",1257.99,2213.10,3471.09
"2024-06-22",1030.88,3587.92,4618.80
"2024-06-23",837.99,4684.03,5522.02
"2024-06-24",602.00,3293.33,3895.33
"2024-06-25",606.11,2880.69,3486.80
"2024-06-26",1146.89,2937.46,4084.35
"2024-06-27",711.97,2103.43,2815.40
"2024-06-28",804.92,4224.09,5029.01
"2024-06-29",1131.82,2233.44,3365.26
"2024-06-30",384.29,3931.92,4316.21
"2024-07-01",439.07,0,439.07
"2024-07-02",842.89,4566.05,5408.94
"2024-07-03",708.00,4054.01,4762.01
"2024-07-04",1507.62,0,1507.62
"2024-07-05",1057.04,3720.75,4777.79
"2024-07-06",772.46,4928.02,5700.48
"2024-07-07",617.21,4970.48,5587.69
"2024-07-08",758.26,3872.44,4630.70
"2024-07-09",806.30,2145.01,2951.31
"2024-07-10",562.00,4827.41,5389.41
"2024-07-11",1054.54,2430.13,3484.67
"2024-07-12",1117.24,0,1117.24
"2024-07-13",1348.96,4710.47,6059.43
"2024-07-14",1480.92,0,1480.92
"2024-07-15",1235.53,3989.98,5225.51
"2024-07-16",1277.95,2006.91,3284.86
"2024-07-17",831.58,2553.24,3384.82
"2024-07-18",746.07,1894.93,2641.00
"2024-07-19",639.88,3111.98,3751.86
"2024-07-20",724.33,2501.10,3225.43
"2024-07-21",1257.70,3880.31,5138.01
"2024-07-22",344.70,2249.03,2593.73
"2024-07-23",1231.26,2026.09,3257.35
"2024-07-24",577.86,4187.84,4765.70
"2024-07-25",1192.82,4423.22,5616.04
"2024-07-26",607.43,3312.84,3920.27
"2024-07-27",856.04,3317.51,4173.55
"2024-07-28",825.14,2301.45,3126.59
"2024-07-29",456.89,3061.74,3518.63
"2024-07-30",549.68,1566.37,2116.05
"2024-07-31",824.03,3511.25,4335.28
"2024-08-01",364.26,2366.31,2730.57
"2024-08-02",484.26,2204.92,2689.18
"2024-08-03",795.59,0,795.59
"2024-08-04",783.37,3090.46,3873.83
"2024-08-05",897.01,2374.28,3271.29
"2024-08-06",1088.47,0,1088.47
"2024-08-07",1251.78,1650.74,2902.52
"2024-08-08",665.02,4185.62,4850.64
"2024-08-09",1396.14,3732.72,5128.86
"2024-08-10",886.69,3661.73,4548.42
"2024-08-11",1509.14,2442.00,3951.14
"2024-08-12",948.97,4529.25,5478.22
"2024-08-13",1575.68,2923.85,4499.53
"2024-08-14",623.95,3091.22,3715.17
"2024-08-15",1413.79,4001.10,5414.89
"2024-08-16",1062.86,1899.36,2962.22
"2024-08-17",990.05,4764.20,5754.25
"2024-08-18",1274.78,0,1274.78
"2024-08-19",867.88,1726.39,2594.27
"2024-08-20",734.83,3370.92,4105.75
"2024-08-21",357.72,4571.32,4929.04
"2024-08-22",1311.19,3390.83,4702.02
"2024-08-23",1157.29,1557.68,2714.97
"2024-08-24",528.00,4236.51,4764.51
"2024-08-25",327.93,4531.37,4859.30
"2024-08-26",688.23,2971.29,3659.52
"2024-08-27",1030.17,1975.60,3005.77
"2024-08-28",963.46,2158.99,3122.45
"2024-08-29",1048.94,2460.72,3509.66
"2024-08-30",909.83,0,909.83
"2024-08-31",966.12,0,966.12
"2024-09-01",1184.18,3662.07,4846.25
"2024-09-02",697.06,0,697.06
"2024-09-03",1346.96,0,1346.96
"2024-09-04",894.11,4379.86,5273.97
"2024-09-05",495.66,0,495.66
"2024-09-06",611.82,0,611.82
"2024-09-07",363.03,4690.59,5053.62
"2024-09-08",1303.61,2961.10,4264.71
"2024-09-09",408.07,1861.56,2269.63
"2024-09-10",511.58,4263.27,4774.85
"2024-09-11",687.54,0,687.54
"2024-09-12",940.70,2495.60,3436.30
"2024-09-13",1318.89,3387.43,4706.32
"2024-09-14",391.19,3239.56,3630.75
"2024-09-15",1000.51,2256.41,3256.92
"2024-09-16",1339.80,3720.65,5060.45
"2024-09-17",1414.58,0,1414.58
"2024-09-18",1154.94,4929.07,6084.01
"2024-09-19",688.25,2317.08,3005.33
"2024-09-20",1663.18,0,1663.18
"2024-09-21",738.51,3658.24,4396.75
"2024-09-22",1046.44,3552.08,4598.52
"2024-09-23",250.66,4241.17,4491.83
"2024-09-24",1386.60,0,1386.60
"2024-09-25",1036.28,4198.35,5234.63
"2024-09-26",240.89,2188.90,2429.79
"2024-09-27",1287.13,4713.91,6001.04
"2024-09-28",1165.28,0,1165.28
"2024-09-29",870.60,1918.39,2788.99
"2024-09-30",774.21,1561.85,2336.06
"2024-10-01",1087.10,3659.99,4747.09
"2024-10-02",1191.25,3836.77,5028.02
"2024-10-03",1244.44,0,1244.44
"2024-10-04",1607.38,3503.27,5110.65
"2024-10-05",1347.50,0,1347.50
"2024-10-06",1033.00,3667.20,4700.20
"2024-10-07",1108.61,3453.55,4562.16
"2024-10-08",1170.60,3997.64,5168.24
"2024-10-09",1051.14,3863.46,4914.60
"2024-10-10",1394.84,0,1394.84
"2024-10-11",895.65,4090.93,4986.58
"2024-10-12",1374.18,2255.63,3629.81
"2024-10-13",565.14,3771.71,4336.85
"2024-10-14",653.41,0,653.41
"2024-10-15",667.92,4368.73,5036.65
"2024-10-16",1147.20,0,1147.20
"2024-10-17",888.19,2952.80,3840.99
"2024-10-18",349.38,0,349.38
"2024-10-19",1346.27,3657.30,5003.57
"2024-10-20",1091.52,4642.57,5734.09
"2024-10-21",1441.96,0,1441.96
"2024-10-22",697.67,3313.05,4010.72
"2024-10-23",1437.22,3855.38,5292.60
"2024-10-24",1100.09,3533.35,4633.44
"2024-10-25",771.19,2054.00,2825.19
"2024-10-26",677.71,4317.34,4995.05
"2024-10-27",893.21,4720.10,5613.31
"2024-10-28",451.72,3196.09,3647.81
"2024-10-29",464.56,0,464.56
"2024-10-30",894.00,3165.38,4059.38
"2024-10-31",559.28,1781.26,2340.54
"2024-11-01",848.29,2791.76,3640.05
"2024-11-02",523.59,4623.78,5147.37
"2024-11-03",857.72,3731.55,4589.27
"2024-11-04",1080.37,3942.11,5022.48
"2024-11-05",508.94,4186.30,4695.24
"2024-11-06",826.61,4342.20,5168.81
"2024-11-07",1503.21,3636.17,5139.38
"2024-11-08",738.00,0,738.00
"2024-11-09",382.37,4645.49,5027.86
"2024-11-10",387.04,0,387.04
"2024-11-11",1570.64,3049.42,4620.06
"2024-11-12",1284.99,0,1284.99
"2024-11-13",664.51,3173.98,3838.49
"2024-11-14",555.03,3606.59,4161.62
"2024-11-15",1117.96,2504.22,3622.18
"2024-11-16",728.36,0,728.36
"2024-11-17",488.98,4291.74,4780.72
"2024-11-18",589.09,2931.87,3520.96
"2024-11-19",879.04,4817.40,5696.44
"2024-11-20",734.52,2819.38,3553.90
"2024-11-21",345.22,4103.91,4449.13
"2024-11-22",1144.73,4202.85,5347.58
"2024-11-23",782.26,1565.02,2347.28
"2024-11-24",1297.20,3529.66,4826.86
"2024-11-25",318.58,2797.95,3116.53
"2024-11-26",1119.00,2276.20,3395.20
"2024-11-27",1510.12,2918.72,4428.84
"2024-11-28",286.39,1693.27,1979.66
"2024-11-29",582.34,3612.07,4194.41
"2024-11-30",506.22,4566.53,5072.75
"2024-12-01",531.75,0,531.75
"2024-12-02",1078.88,4367.11,5445.99
"2024-12-03",720.20,4517.84,5238.04
"2024-12-04",904.36,0,904.36
"2024-12-05",616.29,4501.42,5117.71
"2024-12-06",893.78,1796.84,2690.62
"2024-12-07",996.54,3194.68,4191.22
"2024-12-08",1015.17,3334.03,4349.20
"2024-12-09",997.02,0,997.02
"2024-12-10",750.79,1748.97,2499.76
"2024-12-11",234.20,0,234.20
"2024-12-12",1426.00,4381.11,5807.11
"2024-12-13",933.64,3911.03,4844.67
"2024-12-14",1469.61,2332.54,3802.15
"2024-12-15",378.62,2181.40,2560.02
"2024-12-16",1010.83,0,1010.83
"2024-12-17",1234.89,2871.11,4106.00
"2024-12-18",1064.97,0,1064.97
"2024-12-19",960.54,0,960.54
"2024-12-20",967.01,4892.60,5859.61
"2024-12-21",1218.13,3389.54,4607.67
"2024-12-22",644.03,0,644.03
"2024-12-23",856.99,4729.47,5586.46
"2024-12-24",1247.49,4977.64,6225.13
"2024-12-25",813.97,3177.18,3991.15
"2024-12-26",1275.60,0,1275.60
"2024-12-27",1175.60,0,1175.60
"2024-12-28",1043.54,2531.02,3574.56
"2024-12-29",864.06,4137.24,5001.30
"2024-12-30",1308.71,0,1308.71
"2024-12-31",399.00,2417.03,2816.03
