order_date,total_sales
2024-05-29,4734.79
2024-05-30,4003.51
2024-05-31,1763.3
2024-06-01,1602.64
2024-06-02,1898
2024-06-03,3453.88
2024-06-05,2847.58
2024-06-06,1915.42
2024-06-07,1938.02
2024-06-08,3392.44
2024-06-09,4539.2
2024-06-10,3164.19
2024-06-11,3032.85
2024-06-12,1549.2
2024-06-13,3045.98
2024-06-14,3274.31
2024-06-16,2368.88
2024-06-17,3220.48
2024-06-18,2092.03
2024-06-20,2247.92
2024-06-21,2213.1
2024-06-22,3587.92
2024-06-23,4684.03
2024-06-24,3293.33
2024-06-25,2880.69
2024-06-26,2937.46
2024-06-27,2103.43
2024-06-28,4224.09
2024-06-29,2233.44
2024-06-30,3931.92
2024-07-02,4566.05
2024-07-03,4054.01
2024-07-05,3720.75
2024-07-06,4928.02
2024-07-07,4970.48
2024-07-08,3872.44
2024-07-09,2145.01
2024-07-10,4827.41
2024-07-11,2430.13
2024-07-13,4710.47
2024-07-15,3989.98
2024-07-16,2006.91
2024-07-17,2553.24
2024-07-18,1894.93
2024-07-19,3111.98
2024-07-20,2501.1
2024-07-21,3880.31
2024-07-22,2249.03
2024-07-23,2026.09
2024-07-24,4187.84
2024-07-25,4423.22
2024-07-26,3312.84
2024-07-27,3317.51
2024-07-28,2301.45
2024-07-29,3061.74
2024-07-30,1566.37
2024-07-31,3511.25
2024-08-01,2366.31
2024-08-02,2204.92
2024-08-04,3090.46
2024-08-05,2374.28
2024-08-07,1650.74
2024-08-08,4185.62
2024-08-09,3732.72
2024-08-10,3661.73
2024-08-11,2442
2024-08-12,4529.25
2024-08-13,2923.85
2024-08-14,3091.22
2024-08-15,4001.1
2024-08-16,1899.36
2024-08-17,4764.2
2024-08-19,1726.39
2024-08-20,3370.92
2024-08-21,4571.32
2024-08-22,3390.83
2024-08-23,1557.68
2024-08-24,4236.51
2024-08-25,4531.37
2024-08-26,2971.29
2024-08-27,1975.6
2024-08-28,2158.99
2024-08-29,2460.72
2024-09-01,3662.07
2024-09-04,4379.86
2024-09-07,4690.59
2024-09-08,2961.1
2024-09-09,1861.56
2024-09-10,4263.27
2024-09-12,2495.6
2024-09-13,3387.43
2024-09-14,3239.56
2024-09-15,2256.41
2024-09-16,3720.65
2024-09-18,4929.07
2024-09-19,2317.08
2024-09-21,3658.24
2024-09-22,3552.08
2024-09-23,4241.17
2024-09-25,4198.35
2024-09-26,2188.9
2024-09-27,4713.91
2024-09-29,1918.39
2024-09-30,1561.85
2024-10-01,3659.99
2024-10-02,3836.77
2024-10-04,3503.27
2024-10-06,3667.2
2024-10-07,3453.55
2024-10-08,3997.64
2024-10-09,3863.46
2024-10-11,4090.93
2024-10-12,2255.63
2024-10-13,3771.71
2024-10-15,4368.73
2024-10-17,2952.8
2024-10-19,3657.3
2024-10-20,4642.57
2024-10-22,3313.05
2024-10-23,3855.38
2024-10-24,3533.35
2024-10-25,2054
2024-10-26,4317.34
2024-10-27,4720.1
2024-10-28,3196.09
2024-10-30,3165.38
2024-10-31,1781.26
2024-11-01,2791.76
2024-11-02,4623.78
2024-11-03,3731.55
2024-11-04,3942.11
2024-11-05,4186.3
2024-11-06,4342.2
2024-11-07,3636.17
2024-11-09,4645.49
2024-11-11,3049.42
2024-11-13,3173.98
2024-11-14,3606.59
2024-11-15,2504.22
2024-11-17,4291.74
2024-11-18,2931.87
2024-11-19,4817.4
2024-11-20,2819.38
2024-11-21,4103.91
2024-11-22,4202.85
2024-11-23,1565.02
2024-11-24,3529.66
2024-11-25,2797.95
2024-11-26,2276.2
2024-11-27,2918.72
2024-11-28,1693.27
2024-11-29,3612.07
2024-11-30,4566.53
2024-12-02,4367.11
2024-12-03,4517.84
2024-12-05,4501.42
2024-12-06,1796.84
2024-12-07,3194.68
2024-12-08,3334.03
2024-12-10,1748.97
2024-12-12,4381.11
2024-12-13,3911.03
2024-12-14,2332.54
2024-12-15,2181.4
2024-12-17,2871.11
2024-12-20,4892.6
2024-12-21,3389.54
2024-12-23,4729.47
2024-12-24,4977.64
2024-12-25,3177.18
2024-12-28,2531.02
2024-12-29,4137.24
2024-12-31,2417.03
